item                              mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
mutationRate.s:5271_introns       0.004684 0.000392 0.006132 0.002816 0.00058  0.020276 19772781 244.3690 0.002888
mutationRate.s:5326_introns       0.003659 9.63E-5  0.001515 0.003037 0.002123 0.006901 19533541 247.3619 0.003409
mutationRate.s:5333_introns       0.001784 7.1E-5   0.001111 0.001403 0.000486 0.004035 19752577 244.6189 0.001452
mutationRate.s:5404_introns       0.017728 0.000533 0.008341 0.015374 0.007829 0.036758 19713358 245.1056 0.016125
mutationRate.s:5406_introns       1.786063 0.0236   0.375825 1.737738 1.162586 2.603883 19053429 253.5950 1.747398
mutationRate.s:5426_introns       1.978323 0.033853 0.532733 1.975049 1.115348 2.976426 19511830 247.6371 1.909799
mutationRate.s:5428_introns       0.001284 3.51E-5  0.000556 0.001193 0.000498 0.002251 19302192 250.3267 0.001177
mutationRate.s:5464_introns       0.027843 0.001479 0.023182 0.016865 0.00615  0.0747   19669751 245.6490 0.020373
mutationRate.s:5599_introns       0.025939 0.001312 0.020555 0.017426 0.005491 0.074397 19686791 245.4363 0.020322
mutationRate.s:5614_introns       0.677126 0.023735 0.374185 0.57785  0.206925 1.499328 19441200 248.5368 0.589783
mutationRate.s:5639_introns       0.020595 0.00099  0.015502 0.019264 0.004605 0.049181 19694605 245.3390 0.015025
mutationRate.s:5664_introns       0.092697 0.002662 0.041698 0.079376 0.031153 0.176991 19691201 245.3814 0.08502 
mutationRate.s:5822_introns       1.430497 0.029798 0.469513 1.374413 0.59013  2.348363 19462071 248.2703 1.358727
mutationRate.s:5840_introns       0.11975  0.004212 0.066013 0.098212 0.045245 0.266306 19674026 245.5956 0.105405
mutationRate.s:5857_introns       0.014122 0.000746 0.011634 0.009534 0.00428  0.041964 19865456 243.2289 0.010968
mutationRate.s:5899_introns       0.075246 0.001966 0.03103  0.069337 0.026208 0.135261 19391819 249.1697 0.069611
mutationRate.s:5910_introns       0.023411 0.000576 0.009082 0.022546 0.008949 0.040667 19436553 248.5962 0.021735
mutationRate.s:5922_introns       1.733248 0.034478 0.542084 1.626967 0.848605 3.006134 19546202 247.2017 1.658395
mutationRate.s:5926_introns       0.008392 0.000287 0.004498 0.006792 0.003506 0.01832  19724945 244.9616 0.007417
mutationRate.s:5944_introns       0.01411  0.003289 0.053328 0.003724 0.001008 0.050357 18382067 262.8569 0.004412
mutationRate.s:5974_introns       0.011847 0.000512 0.007994 0.009086 0.004503 0.033878 19821027 243.7741 0.010083
